schedule_id,flight_date,origin_airport,dest_airport,dept_time,arr_time,flight_id ,delay_time,flight_status_id 
SC000001806,1/2/2018,MOB,ATL,2040,2242,3348,138,3
SC000001827,1/21/2018,SAV,JFK,1236,1427,3349,-36,1
SC000001848,1/9/2018,LGA,BGR,1425,1554,3350,-8,1
SC000001869,1/1/2018,ATL,ABY,1349,1437,3351,-9,1
SC000001890,1/26/2018,DTW,IAD,1529,1657,3351,-5,1
SC000001911,1/21/2018,IAD,DTW,1735,1926,3351,4,3
SC000001932,1/12/2018,LGA,BUF,940,1117,3352,715,3
SC000001953,1/7/2018,ABY,ATL,625,729,3353,,4
SC000001974,1/28/2018,ABY,ATL,623,726,3353,-3,1
SC000001995,1/15/2018,DTW,MEM,1409,1542,3354,18,3
SC000002016,1/10/2018,MEM,DTW,1556,1843,3354,-15,1
SC000002037,1/5/2018,LGA,RDU,,,3355,,4
SC000002058,1/4/2018,RDU,LGA,,,3356,,4
SC000002079,1/16/2018,ATL,OAJ,1505,1614,3357,-21,1
SC000002100,1/22/2018,DTW,MSY,2042,2244,3357,15,3
SC000002121,1/8/2018,CHS,LGA,1247,1441,3358,-12,1
SC000002142,1/4/2018,LGA,CMH,,,3358,,4
SC000002163,1/20/2018,DTW,ORF,1222,1405,3359,-12,1
SC000002184,1/8/2018,LGA,MHT,,,3360,,4
SC000002205,1/31/2018,LGA,MHT,2158,2251,3360,-22,1
SC000002226,1/20/2018,ATL,BQK,959,1100,3361,-14,1
SC000002247,1/14/2018,BQK,ATL,1358,1512,3361,-6,1
SC000002268,1/4/2018,LGA,DAY,,,3362,,4
SC000002289,1/29/2018,LGA,DAY,1912,2125,3362,-27,1
SC000002310,1/23/2018,DTW,LEX,2159,2310,3363,-30,1
SC000002331,1/28/2018,ATL,CRW,935,1045,3365,-18,1
SC000002352,1/19/2018,LEX,DTW,610,741,3365,-5,1
SC000002373,1/9/2018,LGA,BNA,1618,1756,3366,-22,1
SC000002394,1/2/2018,ATL,SDF,1114,1227,3367,12,3
SC000002415,1/31/2018,BGR,LGA,1744,1916,3367,31,3
SC000002436,1/25/2018,CLE,BDL,1911,2033,3368,-18,1
SC000002457,1/18/2018,MOT,MSP,1641,1807,3369,-28,1
SC000002478,1/16/2018,MSP,MOT,1426,1551,3369,-29,1
SC000002499,1/14/2018,BWI,JFK,1055,1151,3370,-27,1
